Tract,heat_days,FIPS,GEOID,heat_bin,heat_label
6019,8.6166668,6037601900,06037601900,1,less tha 25
6013.01,8.6166668,6037601301,06037601301,1,less tha 25
6012.12,8.6166668,6037601212,06037601212,1,less tha 25
2347,8.6166668,6037234700,06037234700,1,less tha 25
6014.02,8.6166668,6037601402,06037601402,1,less tha 25
6015.02,8.6166668,6037601502,06037601502,1,less tha 25
6008.01,8.6166668,6037600801,06037600801,1,less tha 25
2349.02,8.6166668,6037234902,06037234902,1,less tha 25
6006.01,8.6166668,6037600601,06037600601,1,less tha 25
6013.02,8.6166668,6037601302,06037601302,1,less tha 25
2352.02,8.6166668,6037235202,06037235202,1,less tha 25
2352.01,8.6166668,6037235201,06037235201,1,less tha 25
6013.03,8.6166668,6037601303,06037601303,1,less tha 25
6012.02,8.6166668,6037601202,06037601202,1,less tha 25
6018.01,8.6166668,6037601801,06037601801,1,less tha 25
2349.01,8.6166668,6037234901,06037234901,1,less tha 25
2351,8.6166668,6037235100,06037235100,1,less tha 25
6009.02,8.6166668,6037600902,06037600902,1,less tha 25
6009.12,8.6166668,6037600912,06037600912,1,less tha 25
6006.02,8.6166668,6037600602,06037600602,1,less tha 25
6007.04,8.6166668,6037600704,06037600704,1,less tha 25
6007.02,8.6166668,6037600702,06037600702,1,less tha 25
6010.01,8.6166668,6037601001,06037601001,1,less tha 25
6010.02,8.6166668,6037601002,06037601002,1,less tha 25
2753.02,8.6333332,6037275302,06037275302,1,less tha 25
2766.03,8.6333332,6037276603,06037276603,1,less tha 25
7029.01,8.6333332,6037702901,06037702901,1,less tha 25
2766.01,8.6333332,6037276601,06037276601,1,less tha 25
2754,8.6333332,6037275400,06037275400,1,less tha 25
2781.02,8.6333332,6037278102,06037278102,1,less tha 25
6211.04,8.8166666,6037621104,06037621104,1,less tha 25
6212.01,8.8166666,6037621201,06037621201,1,less tha 25
6213.24,8.8166666,6037621324,06037621324,1,less tha 25
6212.04,8.8166666,6037621204,06037621204,1,less tha 25
6213.26,8.8166666,6037621326,06037621326,1,less tha 25
6211.02,8.8166666,6037621102,06037621102,1,less tha 25
6014.01,9.0500002,6037601401,06037601401,1,less tha 25
2771,9.0500002,6037277100,06037277100,1,less tha 25
2761,9.0500002,6037276100,06037276100,1,less tha 25
7030.02,9.0500002,6037703002,06037703002,1,less tha 25
2774,9.0500002,6037277400,06037277400,1,less tha 25
6005.01,9.3166666,6037600501,06037600501,1,less tha 25
6016,9.3166666,6037601600,06037601600,1,less tha 25
6017,9.3166666,6037601700,06037601700,1,less tha 25
6210.04,9.3166666,6037621004,06037621004,1,less tha 25
6020.03,9.3166666,6037602003,06037602003,1,less tha 25
6208,9.3166666,6037620800,06037620800,1,less tha 25
6210.01,9.3166666,6037621001,06037621001,1,less tha 25
6020.04,9.3166666,6037602004,06037602004,1,less tha 25
6700.03,10.316667,6037670003,06037670003,1,less tha 25
6514.02,10.316667,6037651402,06037651402,1,less tha 25
6702.01,10.316667,6037670201,06037670201,1,less tha 25
6702.02,10.316667,6037670202,06037670202,1,less tha 25
6514.01,10.316667,6037651401,06037651401,1,less tha 25
