geoid,name,population,value,percentile,t_percentile,fips
06037553802,5538.02,6881,42.358334,.35172591,35.172592,06037553802
06059074701,747.01001,8184,43.116665,.35666624,35.666622,06059074701
06065045502,455.01999,3788,211.53334,.99461055,99.461052,06065045502
06001405302,4053.02,2373,7.6500001,.072693445,7.2693443,06001405302
06065040204,402.04001,4160,145.83333,.93603235,93.603233,06065040204
06083002705,27.049999,4162,7.3916669,.07012704,7.0127039,06083002705
06073002201,22.01,3328,25.058332,.25824457,25.824457,06073002201
06097150611,1506.11,4147,46,.37617093,37.617092,06097150611
06071002036,20.360001,14218,137.88333,.85127681,85.127678,06071002036
06037209403,2094.03,4148,36.275002,.31342229,31.34223,06037209403
06057000801,8.0100002,5450,95.675003,.56178623,56.178623,06057000801
06099000503,5.0300002,4800,122.61667,.72263569,72.263565,06099000503
06037226420,2264.2,5531,36.275002,.31342229,31.34223,06037226420
06019006603,66.029999,2312,139.30833,.86577696,86.577698,06019006603
06059062640,626.40002,3741,9.1750002,.10567176,10.567176,06059062640
06065042738,427.38,8614,151.89166,.96413445,96.413445,06065042738
06107002903,29.030001,4717,138.48334,.85750031,85.750031,06107002903
06085506606,5066.0601,4468,41.041668,.33754653,33.754654,06085506606
06065041102,411.01999,4689,145.08333,.9283973,92.839729,06065041102
06037533002,5330.02,2705,44.299999,.36430129,36.43013,06037533002
06037216800,2168,3203,16.25,.19806236,19.806236,06037216800
06083003102,31.02,3296,17.308332,.20723726,20.723726,06083003102
06097152801,1528.01,4631,64.658333,.46041319,46.041317,06097152801
06085504806,5048.0601,3052,23.833334,.24656743,24.656742,06085504806
06037212610,2126.1001,4447,36.341667,.31913257,31.913258,06037212610
06045010600,106,6346,84.833336,.52033877,52.033878,06045010600
06029003804,38.040001,16789,145.35834,.93218273,93.218269,06029003804
06001442400,4424,6822,17.883333,.20973951,20.973951,06001442400
06001422500,4225,4400,6.6999998,.063261904,6.3261905,06001422500
06067005102,51.02,4654,118.425,.68247145,68.247147,06067005102
06071007109,71.089996,6611,144.23334,.91896576,91.896576,06071007109
06001437900,4379,2321,20.308332,.23123316,23.123316,06001437900
06059086701,867.01001,9054,64.083336,.45707688,45.707687,06059086701
06001442900,4429,7761,17.883333,.20973951,20.973951,06001442900
06037575102,5751.02,4151,40.891666,.3348518,33.48518,06037575102
06059099308,993.08002,5996,18.408333,.21307583,21.307583,06059099308
06037106520,1065.2,5920,108.375,.61747724,61.747723,06037106520
06039000800,8,6793,142.28334,.89214683,89.214684,06039000800
06037402803,4028.03,3270,120.39167,.69863981,69.863983,06037402803
06001437702,4377.02,4295,13.541667,.17060181,17.060181,06001437702
06037111205,1112.05,3869,105.29166,.60393941,60.39394,06037111205
06073008349,83.489998,3841,40.525002,.33036059,33.03606,06073008349
06037139301,1393.01,4445,130.27499,.80187351,80.187347,06037139301
06037206200,2062,4001,61.916668,.45034006,45.034008,06037206200
06071010022,100.22,4692,118.48333,.68279225,68.279228,06071010022
06037481101,4811.0098,4513,122.40833,.71917105,71.917107,06037481101
06037503302,5033.02,6784,97.741669,.56961375,56.961376,06037503302
06037650902,6509.02,6769,15.208333,.18426794,18.426794,06037650902
06065044924,449.23999,3998,209.35834,.99024767,99.024765,06065044924
06073015301,153.00999,3560,58.133335,.42955217,42.955215,06073015301
06085501502,5015.02,4843,41.366665,.340947,34.0947,06085501502
06053010607,106.07,4146,9.6499996,.11645066,11.645066,06053010607
06001423400,4234,5163,6.3833332,.053317077,5.331708,06001423400
06037265304,2653.04,2878,11.608334,.14840241,14.84024,06037265304
06065042208,422.07999,2635,136.09166,.83728987,83.728989,06065042208
06013323000,3230,4476,84.041664,.51802897,51.802898,06013323000
06073002402,24.02,5189,12.8,.15783395,15.783395,06073002402
06111004200,42,5797,11.533334,.14788914,14.788914,06111004200
06073020021,200.21001,6701,54.216667,.41267803,41.267803,06073020021
06037302505,3025.05,4376,93.216667,.55562687,55.562687,06037302505
06085507205,5072.0498,4853,48.724998,.39002952,39.002953,06085507205
06075011901,119.01,2699,4.1833334,.027268061,2.7268062,06075011901
06037135114,1351.14,5106,131.88333,.80982935,80.982933,06037135114
06085503113,5031.1299,5052,46.549999,.37815988,37.815987,06085503113
06037231720,2317.2,4934,36.275002,.31342229,31.34223,06037231720
06071001501,15.01,4218,116.39167,.66322339,66.322342,06071001501
06111006302,63.02,3618,50.674999,.39914027,39.914028,06111006302
06071004202,42.02,5704,146.97501,.94360322,94.360321,06071004202
06113011002,110.02,3739,129.73334,.79834467,79.834465,06113011002
06095253403,2534.03,4991,131.04167,.80597973,80.597977,06095253403
06037405701,4057.01,3862,139.09166,.8638522,86.385223,06037405701
06071003510,35.099998,5368,138.54167,.85904014,85.904015,06071003510
06059087105,871.04999,4614,74.216667,.47857052,47.857052,06059087105
