"Qualifying Name","Name of Area","FIPS","Nation","State","County","County Subdivision","Census Tract","Block Group","Place","Congressional District (116th)","State Legislative District (Upper Chamber)","State Legislative District (Lower Chamber)","Metropolitan Statistical Area/Micropolitan Statistical Area","Combined Statistical Area","2020 Housing Units","2020 Occupied Units","2020 Vacant Units","2010 Housing Units","2010 Occupied Units","2010 Vacant Units","Housing Units Change","Occupied Units Change","Vacant Units Change","Housing Units Change Percent","Occupied Units Change Percent","Vacant Units Change Percent","Housing Units Change Percent Points","Occupied Units Change Percent Points","Vacant Units Change Percent Points","2020 Total Population","White 2020","African American or Black 2020","American Indian and Alaska Native 2020","Asian 2020","Native Hawaiian and Other Pacific Islander 2020","Other 2020","Two or More Races 2020","2010 Total Population","White 2010 ","African American or Black 2010 ","American Indian and Alaska Native 2010 ","Asian 2010 ","Native Hawaiian and Other Pacific Islander 2010 ","Other 2010 ","Two or More Races 2010 ","Population Change","White Change","African American or Black Change","American Indian and Alaska Native Change","Asian Change","Native Hawaiian and Other Pacific Islander Change","Other Change","Two or More Races Change","Population Change Percent","White Change Percent","African American or Black Change Percent","American Indian and Alaska Native Change Percent","Asian Change Percent","Native Hawaiian and Other Pacific Islander Change Percent","Other Change Percent","Two or More Races Change Percent","Total Population Change Percent Points","White Change Percent Points","African American or Black Change Percent Points","American Indian and Alaska Native Change Percent Points","Asian Change Percent Points","Native Hawaiian and Other Pacific Islander Change Percent Points","Other Change Percent Points","Two or More Races Change Percent Points"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T015_000,SE_T015_001,SE_T015_002,SE_T016_000,SE_T016_001,SE_T016_002,SE_T017_000,SE_T017_001,SE_T017_002,SE_T018_000,SE_T018_001,SE_T018_002,SE_T019_000,SE_T019_001,SE_T019_002,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008
"Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05","06037102105","00","06","037",,"102105",,,,,,,,573,563,10,560,527,33,13,36,-23,2.32142857142857,6.83111954459203,-69.6969696969697,-4.44089209850063E-15,4.14765644477686,-4.14765644477686,1855,718,27,42,178,0,501,389,1731,1040,16,7,141,0,444,83,124,-322,11,35,37,0,57,306,7.16348931253611,-30.9615384615385,68.75,500,26.2411347517731,,12.8378378378378,368.674698795181,3.5527136788005E-15,-21.3746786442251,0.531204404851441,1.85976041768854,1.45010674228162,0,1.35817290848193,16.1754341709216
"Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07","06037102107","00","06","037",,"102107",,,,,,,,1348,1305,43,1326,1269,57,22,36,-14,1.65912518853695,2.83687943262411,-24.5614035087719,-6.66133814775094E-16,1.10873155470816,-1.10873155470817,3984,2547,91,26,242,3,650,425,3851,2790,103,28,282,14,492,142,133,-243,-12,-2,-40,-11,158,283,3.4536484030122,-8.70967741935484,-11.6504854368932,-7.14285714285714,-14.1843971631206,-78.5714285714286,32.1138211382114,199.295774647887,-1.06581410364015E-14,-8.51799172801307,-0.390493420057796,-0.0744734325512906,-1.24847611687988,-0.288240732339902,3.53935868115411,6.98031674868782
"Census Tract 1031.01, Los Angeles County, California","Census Tract 1031.01","06037103101","00","06","037",,"103101",,,,,,,,986,966,20,948,918,30,38,48,-10,4.0084388185654,5.22875816993464,-33.3333333333333,-8.43769498715119E-15,1.13615939610239,-1.1361593961024,2712,1980,26,23,193,6,178,306,2670,2031,24,13,248,3,238,113,42,-51,2,10,-55,3,-60,193,1.57303370786517,-2.51107828655835,8.33333333333333,76.9230769230769,-22.1774193548387,100,-25.2100840336134,170.796460176991,7.99360577730113E-15,-3.05856617281495,0.059825660402373,0.361191210102416,-2.17187033906732,0.1088793874913,-2.35043584899407,7.05097610288025
"Census Tract 1031.02, Los Angeles County, California","Census Tract 1031.02","06037103102","00","06","037",,"103102",,,,,,,,1734,1683,51,1708,1627,81,26,56,-30,1.52224824355972,3.4419176398279,-37.037037037037,-6.66133814775094E-16,1.80121228819397,-1.80121228819397,4752,3220,25,32,439,5,525,506,4751,3294,32,40,590,4,575,216,1,-74,-7,-8,-151,1,-50,290,0.0210482003788676,-2.24650880388585,-21.875,-20,-25.5932203389831,25,-8.69565217391304,134.259259259259,3.5527136788005E-15,-1.57182928704713,-0.147448136029487,-0.168527341754031,-3.1802227353164,0.0210260537033848,-1.05473541986908,6.10173686631274
"Census Tract 1032.01, Los Angeles County, California","Census Tract 1032.01","06037103201","00","06","037",,"103201",,,,,,,,1775,1716,59,1591,1513,78,184,203,-19,11.5650534255185,13.4170522141441,-24.3589743589744,0,1.57863333362842,-1.57863333362842,4676,2645,119,69,287,5,900,651,4140,3036,86,25,316,7,516,154,536,-391,33,44,-29,-2,384,497,12.9468599033816,-12.8787878787879,38.3720930232558,176,-9.17721518987342,-28.5714285714286,74.4186046511628,322.727272727273,1.77635683940025E-15,-16.7678927858569,0.46761549365038,0.871755453895522,-1.49512569064769,-0.0621531264592967,6.78345173008021,10.2023489253377
"Census Tract 1032.02, Los Angeles County, California","Census Tract 1032.02","06037103202","00","06","037",,"103202",,,,,,,,687,657,30,693,668,25,-6,-11,5,-0.865800865800866,-1.64670658682635,20,-2.77555756156289E-15,-0.759308619570631,0.759308619570628,2026,1081,132,31,131,4,376,271,2006,1342,191,15,147,3,214,94,20,-261,-59,16,-16,1,162,177,0.997008973080758,-19.4485842026826,-30.8900523560209,106.666666666667,-10.8843537414966,33.3333333333333,75.7009345794392,188.297872340426,0,-13.5429348676576,-3.00613460703772,0.782351858540863,-0.862073207819779,0.0478820202767807,7.89074041449196,8.69016838920553
"Census Tract 1033, Los Angeles County, California","Census Tract 1033","06037103300","00","06","037",,"103300",,,,,,,,1424,1357,67,1400,1322,78,24,35,-11,1.71428571428571,2.64750378214826,-14.1025641025641,6.66133814775094E-16,0.866372391653292,-0.866372391653291,3953,2791,55,18,236,3,378,472,3819,3118,37,16,225,2,285,136,134,-327,18,2,11,1,93,336,3.50877192982456,-10.4874919820398,48.6486486486487,12.5,4.88888888888889,50,32.6315789473684,247.058823529412,-3.5527136788005E-15,-11.0398054331376,0.422508332556664,0.0363925244429059,0.0785545954438333,0.0235219975057806,2.09967113584619,8.37915684734224
"Census Tract 1034.01, Los Angeles County, California","Census Tract 1034.01","06037103401","00","06","037",,"103401",,,,,,,,1022,986,36,992,943,49,30,43,-13,3.0241935483871,4.55991516436904,-26.530612244898,4.21884749357559E-15,1.41701123666436,-1.41701123666435,2516,1704,38,18,250,0,248,258,2331,1740,39,19,265,2,154,112,185,-36,-1,-1,-15,-2,94,146,7.93650793650794,-2.06896551724138,-2.56410256410256,-5.26315789473684,-5.66037735849057,-100,61.038961038961,130.357142857143,8.88178419700125E-16,-6.91952456658339,-0.162767809826633,-0.0996795114442174,-1.43210437328084,-0.0858000858000858,3.25030913266207,5.4495672142731
"Census Tract 1034.02, Los Angeles County, California","Census Tract 1034.02","06037103402","00","06","037",,"103402",,,,,,,,1585,1544,41,1492,1399,93,93,145,-52,6.23324396782842,10.3645461043603,-55.9139784946236,-8.88178419700125E-16,3.64649317918488,-3.64649317918489,4075,2574,65,30,285,2,602,517,3812,2875,58,25,240,3,428,183,263,-301,7,5,45,-1,174,334,6.89926547743966,-10.4695652173913,12.0689655172414,20,18.75,-33.3333333333333,40.6542056074766,182.513661202186,7.99360577730113E-15,-12.2540830055556,0.0735810067014724,0.0803726044328855,0.697957370653861,-0.0296190911490353,3.54530414126523,7.88648697365118
"Census Tract 1041.03, Los Angeles County, California","Census Tract 1041.03","06037104103","00","06","037",,"104103",,,,,,,,857,841,16,842,817,25,15,24,-9,1.78147268408551,2.93757649938801,-36,-4.44089209850063E-16,1.10214331050424,-1.10214331050424,3811,683,395,47,258,15,1568,845,4085,1538,527,10,292,1,1546,171,-274,-855,-132,37,-34,14,22,674,-6.70746634026928,-55.591677503251,-25.0474383301708,370,-11.6438356164384,1400,1.42302716688228,394.152046783626,0,-19.7281335000435,-2.53612312744111,0.988474065442848,-0.378226142388184,0.369117676814555,3.29827944425513,17.9866115833603
"Census Tract 1041.05, Los Angeles County, California","Census Tract 1041.05","06037104105","00","06","037",,"104105",,,,,,,,1732,1714,18,1456,1391,65,276,323,-47,18.956043956044,23.2207045291157,-72.3076923076923,-7.105427357601E-15,3.4250247443088,-3.42502474430881,5999,1046,301,96,421,3,3060,1072,5412,2396,369,24,313,8,2096,206,587,-1350,-68,72,108,-5,964,866,10.8462675535846,-56.3439065108514,-18.4281842818428,300,34.5047923322684,-62.5,45.9923664122137,420.388349514563,-1.77635683940025E-15,-26.8357488011983,-1.80067890102896,1.15680773107417,1.23439210797267,-0.0978113252923282,12.2797504930299,14.0632886954428
"Census Tract 1041.08, Los Angeles County, California","Census Tract 1041.08","06037104108","00","06","037",,"104108",,,,,,,,1665,1629,36,1346,1291,55,319,338,-19,23.6998514115899,26.1812548412084,-34.5454545454545,-3.5527136788005E-15,1.92401911569816,-1.92401911569816,5829,924,486,135,214,1,2961,1108,5256,2003,623,63,186,0,2103,278,573,-1079,-137,72,28,1,858,830,10.9018264840183,-53.8691962056915,-21.9903691813804,114.285714285714,15.0537634408602,,40.7988587731812,298.561151079137,0,-22.2570524013533,-3.51549800987191,1.11737603903017,0.132485893630572,0.0171556013038257,10.7863199355137,13.7192129417469
"Census Tract 1041.24, Los Angeles County, California","Census Tract 1041.24","06037104124","00","06","037",,"104124",,,,,,,,1337,1296,41,1215,1144,71,122,152,-30,10.0411522633745,13.2867132867133,-42.2535211267606,7.54951656745106E-15,2.77705445826447,-2.77705445826446,4333,1662,402,66,263,15,1191,734,4175,2198,593,41,231,8,945,159,158,-536,-191,25,32,7,246,575,3.78443113772455,-24.385805277525,-32.2091062394604,60.9756097560976,13.8528138528139,87.5,26.031746031746,361.635220125786,1.77635683940025E-15,-14.2899099101589,-4.92595607308347,0.541158163709507,0.536763537314938,0.15456370895412,4.85199920952003,13.1313813637438
