Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,PCT_SE_A03001B_002,PCT_SE_A03001B_003,PCT_SE_A03001B_004,PCT_SE_A03001B_005,PCT_SE_A03001B_006,PCT_SE_A03001B_007,PCT_SE_A03001B_008,PCT_SE_A03001B_009,PCT_SE_A03001B_010,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,PCT_SE_A10010_002,PCT_SE_A10010_003,PCT_SE_A10010_004,PCT_SE_A10010_005,PCT_SE_A10010_006,PCT_SE_A10010_007,PCT_SE_A10010_008,PCT_SE_A10010_009,PCT_SE_A10010_010,SE_B10040_001,SE_B10040_002,SE_B10040_003,PCT_SE_B10040_002,PCT_SE_B10040_003,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007,PCT_SE_A09004B_001,PCT_SE_A09004B_002,PCT_SE_A09004B_003,PCT_SE_A09004B_004,PCT_SE_A09004B_005,PCT_SE_A09004B_006,PCT_SE_A09004B_007
"06037900705","Census Tract 9007.05, Los Angeles County, California","ACSSF","ca","140","00","0006526",,,,,"06","037",,,"900705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900705","Census Tract 9007.05",,,,1760,1593,1514,79,0,0,0,38,5,124,90.51,86.02,4.49,0,0,0,2.16,0.28,7.05,1216,758,217,11,46,0,107,77,463,479,62.34,17.85,0.9,3.78,0,8.8,6.33,38.08,39.39,1860,1090,314,11,107,0,179,159,645,756,58.6,16.88,0.59,5.75,0,9.62,8.55,34.68,40.65,644,196,84,30.43,13.04,1744,1098,871,65,0,38,0,124,62.96,49.94,3.73,0,2.18,0,7.11
"06037900804","Census Tract 9008.04, Los Angeles County, California","ACSSF","ca","140","00","0006527",,,,,"06","037",,,"900804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900804","Census Tract 9008.04",,,,1270,1140,1022,118,30,7,0,7,0,86,89.76,80.47,9.29,2.36,0.55,0,0.55,0,6.77,651,194,222,0,0,0,142,93,68,344,29.8,34.1,0,0,0,21.81,14.29,10.45,52.84,1106,489,267,0,10,0,213,127,599,213,44.21,24.14,0,0.9,0,19.26,11.48,54.16,19.26,455,161,64,35.38,14.07,1270,762,621,36,26,7,0,72,60,48.9,2.83,2.05,0.55,0,5.67
"06037900805","Census Tract 9008.05, Los Angeles County, California","ACSSF","ca","140","00","0006528",,,,,"06","037",,,"900805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900805","Census Tract 9008.05",,,,1824,1575,1294,281,61,0,0,12,17,159,86.35,70.94,15.41,3.34,0,0,0.66,0.93,8.72,429,218,77,2,0,0,33,99,183,148,50.82,17.95,0.47,0,0,7.69,23.08,42.66,34.5,1597,838,365,18,28,0,177,171,471,677,52.47,22.86,1.13,1.75,0,11.08,10.71,29.49,42.39,1168,403,132,34.5,11.3,1820,515,404,88,0,0,0,23,28.3,22.2,4.84,0,0,0,1.26
"06037900806","Census Tract 9008.06, Los Angeles County, California","ACSSF","ca","140","00","0006529",,,,,"06","037",,,"900806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900806","Census Tract 9008.06",,,,1178,1019,911,108,11,0,0,31,56,61,86.5,77.33,9.17,0.93,0,0,2.63,4.75,5.18,1964,684,713,0,84,0,205,278,494,542,34.83,36.3,0,4.28,0,10.44,14.15,25.15,27.6,2189,831,713,0,93,15,222,315,632,605,37.96,32.57,0,4.25,0.69,10.14,14.39,28.87,27.64,225,26,26,11.56,11.56,1176,934,710,93,0,23,56,52,79.42,60.37,7.91,0,1.96,4.76,4.42
"06037900807","Census Tract 9008.07, Los Angeles County, California","ACSSF","ca","140","00","0006530",,,,,"06","037",,,"900807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900807","Census Tract 9008.07",,,,1346,1073,951,122,27,0,40,0,50,156,79.72,70.65,9.06,2.01,0,2.97,0,3.71,11.59,415,236,154,0,0,0,0,25,127,109,56.87,37.11,0,0,0,0,6.02,30.6,26.27,1145,589,371,0,15,0,111,59,319,415,51.44,32.4,0,1.31,0,9.69,5.15,27.86,36.24,730,269,66,36.85,9.04,1346,440,225,91,0,0,78,46,32.69,16.72,6.76,0,0,5.79,3.42
"06037900808","Census Tract 9008.08, Los Angeles County, California","ACSSF","ca","140","00","0006531",,,,,"06","037",,,"900808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900808","Census Tract 9008.08",,,,1874,1751,1124,627,5,0,0,0,0,118,93.44,59.98,33.46,0.27,0,0,0,0,6.3,603,335,181,27,0,0,60,0,139,283,55.56,30.02,4.48,0,0,9.95,0,23.05,46.93,1394,708,311,41,9,12,85,228,591,459,50.79,22.31,2.94,0.65,0.86,6.1,16.36,42.4,32.93,791,442,35,55.88,4.42,1867,716,534,137,0,0,0,45,38.35,28.6,7.34,0,0,0,2.41
"06037900901","Census Tract 9009.01, Los Angeles County, California","ACSSF","ca","140","00","0006532",,,,,"06","037",,,"900901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900901","Census Tract 9009.01",,,,1138,1006,841,165,0,0,0,92,40,0,88.4,73.9,14.5,0,0,0,8.08,3.51,0,432,230,134,9,7,0,52,0,174,117,53.24,31.02,2.08,1.62,0,12.04,0,40.28,27.08,917,573,176,9,21,0,111,27,217,503,62.49,19.19,0.98,2.29,0,12.1,2.94,23.66,54.85,485,78,53,16.08,10.93,1138,479,363,36,0,40,40,0,42.09,31.9,3.16,0,3.51,3.51,0
"06037900902","Census Tract 9009.02, Los Angeles County, California","ACSSF","ca","140","00","0006533",,,,,"06","037",,,"900902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037900902","Census Tract 9009.02",,,,558,530,500,30,0,0,0,8,0,20,94.98,89.61,5.38,0,0,0,1.43,0,3.58,134,121,0,0,0,0,0,13,121,13,90.3,0,0,0,0,0,9.7,90.3,9.7,606,528,0,0,0,0,52,26,108,492,87.13,0,0,0,0,8.58,4.29,17.82,81.19,472,144,66,30.51,13.98,558,48,48,0,0,0,0,0,8.6,8.6,0,0,0,0,0
"06037901003","Census Tract 9010.03, Los Angeles County, California","ACSSF","ca","140","00","0006534",,,,,"06","037",,,"901003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037901003","Census Tract 9010.03",,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,
"06037901007","Census Tract 9010.07, Los Angeles County, California","ACSSF","ca","140","00","0006535",,,,,"06","037",,,"901007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037901007","Census Tract 9010.07",,,,890,801,717,84,0,0,0,21,5,63,90,80.56,9.44,0,0,0,2.36,0.56,7.08,147,132,8,0,0,0,7,0,124,15,89.8,5.44,0,0,0,4.76,0,84.35,10.2,707,564,57,0,5,0,26,55,80,510,79.77,8.06,0,0.71,0,3.68,7.78,11.32,72.14,560,152,99,27.14,17.68,878,213,177,25,0,7,0,4,24.26,20.16,2.85,0,0.8,0,0.46
