geoid,population,heat_days,heat_perc,FIPS,FIPS_2,nation,state,county,countysubdivision,censustract,place,congressionaldistrict116th,statelegislativedistrictuppercha,statelegislativedistrictlowercha,metropolitanstatisticalareamicro,combinedstatisticalarea,tot_housing,housing_occupied,housing_vacant,tot_pop,tot_white,tot_bla,tot_native,tot_asian,tot_haw,tot_other,tot_twomore,_merge2
06037115403,3583,123.44167,73.097649,06037115403,6037115403,0,6,37,,115403,,,,,,,1074,1028,46,3245,824,225,71,500,11,1168,446,Matched (3)
06037115404,2800,123.44167,73.097649,06037115404,6037115404,0,6,37,,115404,,,,,,,904,869,35,2956,757,207,38,543,4,1024,383,Matched (3)
06037117101,5224,105.85833,60.798149,06037117101,6037117101,0,6,37,,117101,,,,,,,1488,1465,23,5195,910,289,56,1844,11,1468,617,Matched (3)
06037117102,2861,112.9,64.006165,06037117102,6037117102,0,6,37,,117102,,,,,,,836,817,19,2733,750,89,30,418,0,948,498,Matched (3)
06037117201,5191,112.9,64.006165,06037117201,6037117201,0,6,37,,117201,,,,,,,1253,1228,25,4514,985,267,96,635,24,1972,535,Matched (3)
06037117202,2633,112.9,64.006165,06037117202,6037117202,0,6,37,,117202,,,,,,,903,882,21,2711,884,185,48,675,9,467,443,Matched (3)
06037117301,3910,112.9,64.006165,06037117301,6037117301,0,6,37,,117301,,,,,,,1233,1217,16,3917,1747,163,58,615,8,701,625,Matched (3)
06037117302,5229,126.75,76.7612,06037117302,6037117302,0,6,37,,117302,,,,,,,1811,1771,40,5414,2469,264,41,903,7,1005,725,Matched (3)
06037117303,3754,105.85833,60.798149,06037117303,6037117303,0,6,37,,117303,,,,,,,1051,1027,24,3647,1442,127,42,550,0,847,639,Matched (3)
06037117404,5324,105.85833,60.798149,06037117404,6037117404,0,6,37,,117404,,,,,,,1421,1390,31,4548,1661,199,39,970,19,1030,630,Matched (3)
06037117405,3574,105.85833,60.798149,06037117405,6037117405,0,6,37,,117405,,,,,,,890,848,42,3364,485,167,71,80,3,2155,403,Matched (3)
06037117407,3836,105.85833,60.798149,06037117407,6037117407,0,6,37,,117407,,,,,,,932,917,15,3482,361,92,128,99,0,2382,420,Matched (3)
06037117408,3073,105.85833,60.798149,06037117408,6037117408,0,6,37,,117408,,,,,,,841,831,10,2843,437,158,49,235,4,1642,318,Matched (3)
06037117510,3687,105.85833,60.798149,06037117510,6037117510,0,6,37,,117510,,,,,,,1126,1095,31,4181,581,114,119,325,1,2529,512,Matched (3)
06037117520,4168,105.85833,60.798149,06037117520,6037117520,0,6,37,,117520,,,,,,,1079,1055,24,3961,547,182,85,230,3,2270,644,Matched (3)
06037117530,6742,105.85833,60.798149,06037117530,6037117530,0,6,37,,117530,,,,,,,1730,1656,74,5888,927,236,68,930,10,2845,872,Matched (3)
06037119001,4435,103.30833,59.264725,06037119001,6037119001,0,6,37,,119001,,,,,,,970,957,13,4024,645,30,110,662,2,1914,661,Matched (3)
06037119201,4547,116.50833,66.598228,06037119201,6037119201,0,6,37,,119201,,,,,,,884,866,18,3866,738,19,74,251,3,2066,715,Matched (3)
06037119202,4759,113.73333,64.301292,06037119202,6037119202,0,6,37,,119202,,,,,,,1046,1030,16,4394,683,64,67,278,9,2339,954,Matched (3)
06037119310,4087,112.9,64.006165,06037119310,6037119310,0,6,37,,119310,,,,,,,1188,1170,18,3983,779,154,63,637,4,1790,556,Matched (3)
06037119320,4906,105.85833,60.798149,06037119320,6037119320,0,6,37,,119320,,,,,,,1217,1199,18,4793,743,172,72,849,11,2307,639,Matched (3)
06037119340,4264,105.85833,60.798149,06037119340,6037119340,0,6,37,,119340,,,,,,,1020,981,39,3600,390,102,132,111,4,2372,489,Matched (3)
06037119341,2890,105.85833,60.798149,06037119341,6037119341,0,6,37,,119341,,,,,,,836,831,5,2867,439,108,42,761,3,1148,366,Matched (3)
06037119342,2911,105.85833,60.798149,06037119342,6037119342,0,6,37,,119342,,,,,,,785,774,11,3076,473,74,44,372,2,1644,467,Matched (3)
06037119400,5499,110.33334,62.69088,06037119400,6037119400,0,6,37,,119400,,,,,,,1141,1124,17,4881,809,61,129,353,4,2509,1016,Matched (3)
06037119700,4913,103.30833,59.264725,06037119700,6037119700,0,6,37,,119700,,,,,,,1322,1283,39,4893,1617,48,42,1049,9,1529,599,Matched (3)
06037119900,5245,110.33334,62.69088,06037119900,6037119900,0,6,37,,119900,,,,,,,1207,1192,15,4774,1033,88,88,1088,5,1825,647,Matched (3)
06037120010,2704,105.85833,60.798149,06037120010,6037120010,0,6,37,,120010,,,,,,,721,708,13,2892,503,73,88,307,15,1411,495,Matched (3)
06037120020,3872,105.85833,60.798149,06037120020,6037120020,0,6,37,,120020,,,,,,,1145,1123,22,4037,466,65,99,770,0,2074,563,Matched (3)
06037120030,2666,105.85833,60.798149,06037120030,6037120030,0,6,37,,120030,,,,,,,754,719,35,2591,434,36,98,104,4,1557,358,Matched (3)
06037120103,3452,105.85833,60.798149,06037120103,6037120103,0,6,37,,120103,,,,,,,850,837,13,3123,419,45,136,90,0,1926,507,Matched (3)
06037120104,2228,105.85833,60.798149,06037120104,6037120104,0,6,37,,120104,,,,,,,822,795,27,2327,359,182,54,423,2,1006,301,Matched (3)
06037120105,2832,105.85833,60.798149,06037120105,6037120105,0,6,37,,120105,,,,,,,876,867,9,2855,544,85,52,452,1,1315,406,Matched (3)
06037120106,4763,105.85833,60.798149,06037120106,6037120106,0,6,37,,120106,,,,,,,1196,1171,25,4377,556,111,82,690,2,2262,674,Matched (3)
06037120107,3893,105.85833,60.798149,06037120107,6037120107,0,6,37,,120107,,,,,,,1082,1055,27,3760,658,119,78,193,4,2209,499,Matched (3)
06037120108,4732,105.85833,60.798149,06037120108,6037120108,0,6,37,,120108,,,,,,,1484,1445,39,5263,781,242,110,577,4,2932,617,Matched (3)
06037120300,5238,110.33334,62.69088,06037120300,6037120300,0,6,37,,120300,,,,,,,1467,1439,28,5550,1459,117,89,1090,3,2029,763,Matched (3)
06037120400,6769,103.30833,59.264725,06037120400,6037120400,0,6,37,,120400,,,,,,,2057,2018,39,6614,1503,188,57,1454,9,2569,834,Matched (3)
06037121010,4934,103.30833,59.264725,06037121010,6037121010,0,6,37,,121010,,,,,,,1280,1237,43,4693,1744,67,75,469,6,1589,743,Matched (3)
06037121020,3610,103.30833,59.264725,06037121020,6037121020,0,6,37,,121020,,,,,,,1097,1061,36,3781,1468,102,56,377,7,1330,441,Matched (3)
06037121101,2862,96.008331,56.281281,06037121101,6037121101,0,6,37,,121101,,,,,,,993,978,15,2936,905,85,47,244,1,1197,457,Matched (3)
06037121102,2479,109.35,62.337994,06037121102,6037121102,0,6,37,,121102,,,,,,,871,828,43,2846,1415,59,38,158,2,783,391,Matched (3)
06037121210,2926,103.30833,59.264725,06037121210,6037121210,0,6,37,,121210,,,,,,,787,766,21,3182,683,48,113,513,3,1386,436,Matched (3)
06037121221,2420,103.30833,59.264725,06037121221,6037121221,0,6,37,,121221,,,,,,,536,526,10,2147,404,36,67,142,2,1023,473,Matched (3)
06037121222,5139,103.30833,59.264725,06037121222,6037121222,0,6,37,,121222,,,,,,,1362,1313,49,5376,991,70,99,225,0,2994,997,Matched (3)
06037121600,2735,103.30833,59.264725,06037121600,6037121600,0,6,37,,121600,,,,,,,856,844,12,2996,1409,71,48,634,7,491,336,Matched (3)
06037121801,3127,103.30833,59.264725,06037121801,6037121801,0,6,37,,121801,,,,,,,1233,1169,64,3854,874,219,79,301,1,1700,680,Matched (3)
06037121802,3216,103.30833,59.264725,06037121802,6037121802,0,6,37,,121802,,,,,,,776,742,34,3192,1061,101,49,243,3,1220,515,Matched (3)
06037121900,3761,103.30833,59.264725,06037121900,6037121900,0,6,37,,121900,,,,,,,1092,1004,88,3921,912,77,95,286,1,1899,651,Matched (3)
06037122000,5892,103.30833,59.264725,06037122000,6037122000,0,6,37,,122000,,,,,,,1552,1504,48,5289,2773,88,67,777,6,1070,508,Matched (3)
06037122120,5011,103.88333,59.887077,06037122120,6037122120,0,6,37,,122120,,,,,,,1092,1061,31,4559,923,68,123,220,6,2237,982,Matched (3)
06037122121,2829,103.88333,59.887077,06037122121,6037122121,0,6,37,,122121,,,,,,,723,713,10,2629,581,52,47,225,5,1294,425,Matched (3)
06037122122,2728,103.88333,59.887077,06037122122,6037122122,0,6,37,,122122,,,,,,,799,789,10,2750,592,77,60,67,2,1605,347,Matched (3)
06037122200,3469,96.008331,56.281281,06037122200,6037122200,0,6,37,,122200,,,,,,,957,937,20,4064,1112,33,126,149,4,1946,694,Matched (3)
06037122410,3457,103.30833,59.264725,06037122410,6037122410,0,6,37,,122410,,,,,,,1252,1202,50,3824,832,249,76,245,3,1915,504,Matched (3)
06037122420,4503,103.30833,59.264725,06037122420,6037122420,0,6,37,,122420,,,,,,,1371,1327,44,4623,982,160,140,308,12,2310,711,Matched (3)
06037123010,4027,103.88333,59.887077,06037123010,6037123010,0,6,37,,123010,,,,,,,1057,1029,28,4253,846,91,88,101,6,2411,710,Matched (3)
06037123020,3250,96.008331,56.281281,06037123020,6037123020,0,6,37,,123020,,,,,,,804,780,24,3177,671,31,52,150,3,1792,478,Matched (3)
06037123103,3808,96.541664,56.416016,06037123103,6037123103,0,6,37,,123103,,,,,,,1574,1532,42,4285,1469,234,58,409,11,1345,759,Matched (3)
06037123104,4416,78.558334,49.262157,06037123104,6037123104,0,6,37,,123104,,,,,,,1615,1554,61,4309,1574,186,69,268,8,1485,719,Matched (3)
06037123203,4094,103.30833,59.264725,06037123203,6037123203,0,6,37,,123203,,,,,,,1121,1081,40,3508,843,182,86,134,2,1772,489,Matched (3)
06037123204,3129,103.30833,59.264725,06037123204,6037123204,0,6,37,,123204,,,,,,,1067,1002,65,3125,903,143,56,123,1,1480,419,Matched (3)
06037123205,2492,103.30833,59.264725,06037123205,6037123205,0,6,37,,123205,,,,,,,779,764,15,2503,633,80,39,88,15,1303,345,Matched (3)
06037123206,2572,103.88333,59.887077,06037123206,6037123206,0,6,37,,123206,,,,,,,908,877,31,2857,605,75,94,100,0,1388,595,Matched (3)
06037123301,4530,103.30833,59.264725,06037123301,6037123301,0,6,37,,123301,,,,,,,1684,1633,51,4424,1526,352,92,905,7,992,550,Matched (3)
06037123303,3087,103.30833,59.264725,06037123303,6037123303,0,6,37,,123303,,,,,,,950,928,22,3091,1155,83,40,230,3,1142,438,Matched (3)
06037123304,4362,103.30833,59.264725,06037123304,6037123304,0,6,37,,123304,,,,,,,1745,1703,42,4518,2151,151,42,195,5,1411,563,Matched (3)
06037123410,4181,103.30833,59.264725,06037123410,6037123410,0,6,37,,123410,,,,,,,1299,1278,21,3967,1622,110,57,228,4,1479,467,Matched (3)
06037123420,4408,103.375,59.457207,06037123420,6037123420,0,6,37,,123420,,,,,,,1457,1422,35,4481,1898,111,48,311,8,1537,568,Matched (3)
06037123510,4795,103.30833,59.264725,06037123510,6037123510,0,6,37,,123510,,,,,,,1750,1676,74,4938,2256,217,62,322,2,1538,541,Matched (3)
06037123520,2816,103.375,59.457207,06037123520,6037123520,0,6,37,,123520,,,,,,,925,901,24,2669,1260,82,43,153,16,751,364,Matched (3)
06037123601,4803,78.75,49.589375,06037123601,6037123601,0,6,37,,123601,,,,,,,1887,1828,59,4985,2942,185,51,231,1,1017,558,Matched (3)
06037123602,3659,78.75,49.589375,06037123602,6037123602,0,6,37,,123602,,,,,,,1339,1297,42,3433,1896,157,39,200,3,732,406,Matched (3)
06037123700,4435,103.375,59.457207,06037123700,6037123700,0,6,37,,123700,,,,,,,1571,1514,57,4142,2625,126,45,312,0,613,421,Matched (3)
06037123800,6018,103.375,59.457207,06037123800,6037123800,0,6,37,,123800,,,,,,,2449,2362,87,5757,3680,308,44,283,20,792,630,Matched (3)
06037123901,4696,103.375,59.457207,06037123901,6037123901,0,6,37,,123901,,,,,,,1552,1508,44,4621,1890,280,83,313,9,1414,632,Matched (3)
06037123902,2668,78.75,49.589375,06037123902,6037123902,0,6,37,,123902,,,,,,,1125,1087,38,2596,1371,174,31,262,10,359,389,Matched (3)
06037124000,5219,78.75,49.589375,06037124000,6037124000,0,6,37,,124000,,,,,,,2149,2066,83,4786,3526,192,12,254,5,256,541,Matched (3)
06037124102,3551,78.75,49.589375,06037124102,6037124102,0,6,37,,124102,,,,,,,1498,1438,60,3627,1497,206,62,244,6,1109,503,Matched (3)
06037124103,1950,103.375,59.457207,06037124103,6037124103,0,6,37,,124103,,,,,,,632,609,23,1857,548,55,77,97,0,720,360,Matched (3)
